Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0.0,10.049875,3.0,5.0,8.0,1.4142135,15.811388,4.0,23.409399,5.3851647,18.601076,8.0,22.36068,10.198039,13.601471,22.627417,28.284271,18.0,19.235384,37.802116,28.284271,19.646883,23.769728,41.109608,34.655445,41.036568,26.076809,27.166155,45.343136,53.037724
2,10.049875,0.0,18.248287,4.1231055,1.0,16.155495,1.0,14.3178215,4.2426405,17.888544,4.0,14.764823,6.0,19.416489,13.453624,11.0,14.56022,22.671568,13.341664,21.470911,18.0,19.723083,20.880613,25.0,21.587032,26.0,27.784887,26.925823,31.780497,38.910152
3,3.0,18.248287,0.0,12.0,15.033297,1.0,23.021729,5.656854,30.265491,3.0,24.04163,7.2111025,28.231188,8.246211,14.866069,26.41969,32.24903,16.27882,21.213203,42.48529,31.400637,20.248457,24.698177,45.276924,37.802116,44.94441,25.298222,26.57066,48.166378,55.97321
4,5.0,4.1231055,12.0,0.0,1.0,8.5440035,8.062258,6.3245554,15.524175,9.848858,10.630146,7.071068,14.3178215,12.0415945,9.0,14.866069,20.518284,17.0,13.0,29.832869,20.808653,16.03122,19.026299,33.24154,27.018513,33.24154,23.537205,24.020824,38.013157,45.453274
5,8.0,1.0,15.033297,1.0,0.0,11.0,2.0,8.062258,9.055386,12.0415945,4.1231055,7.2111025,7.615773,12.0415945,7.28011,8.944272,14.764823,16.124516,10.198039,23.345236,15.811388,14.3178215,17.0,26.870058,21.470911,27.018513,22.135944,22.203604,32.649654,39.661064
6,1.4142135,16.155495,1.0,8.5440035,11.0,0.0,19.104973,1.0,26.019224,1.0,19.416489,3.0,23.409399,5.0,10.0,21.470911,27.294687,12.649111,16.27882,37.576588,26.400757,15.652476,20.12461,40.311287,32.80244,39.962482,21.377558,22.561028,43.185646,50.990196
7,15.811388,1.0,23.021729,8.062258,2.0,19.104973,0.0,16.27882,1.0,20.22375,1.0,15.231546,1.0,19.723083,13.453624,6.0827627,9.486833,22.472204,10.440307,16.643316,13.0,18.439089,18.027756,20.248457,16.492422,21.023796,26.172504,24.41311,26.832815,34.0
8,4.0,14.3178215,5.656854,6.3245554,8.062258,1.0,16.27882,0.0,23.0,1.0,16.124516,1.0,19.924858,3.6055512,6.4031243,17.888544,23.70654,10.049875,12.727922,34.0147,22.803509,12.083046,16.552946,36.71512,29.206163,36.359318,18.110771,19.235384,39.623226,47.423622
9,23.409399,4.2426405,30.265491,15.524175,9.055386,26.019224,1.0,23.0,0.0,27.0,3.1622777,21.095022,1.0,23.323807,17.720045,7.81025,8.0,25.942244,12.0415945,13.928389,12.165525,21.633308,20.518284,17.20465,15.0,18.681541,29.068884,26.870058,24.351591,31.38471
10,5.3851647,17.888544,3.0,9.848858,12.0415945,1.0,20.22375,1.0,27.0,0.0,20.024984,1.0,23.537205,1.0,8.602325,21.189621,26.925823,8.246211,14.866069,37.336308,25.553865,13.453624,17.691807,39.812057,31.906113,39.357338,17.464249,18.788294,42.0119,49.819675
11,18.601076,4.0,24.04163,10.630146,4.1231055,19.416489,1.0,16.124516,3.1622777,20.024984,0.0,13.928389,1.0,15.264338,10.049875,1.0,5.8309517,17.888544,5.0990195,14.21267,8.0,13.601471,12.806249,17.691807,12.529964,17.804493,21.213203,19.209373,23.600847,30.528675
12,8.0,14.764823,7.2111025,7.071068,7.2111025,3.0,15.231546,1.0,21.095022,1.0,13.928389,0.0,16.27882,1.0,1.0,13.0,18.0,2.236068,4.0,28.160255,14.866069,1.4142135,5.8309517,29.832869,21.189621,29.12044,8.062258,9.0,30.528675,38.27532
13,22.36068,6.0,28.231188,14.3178215,7.615773,23.409399,1.0,19.924858,1.0,23.537205,1.0,16.27882,0.0,17.088007,13.0,1.0,1.0,19.924858,5.0,6.708204,3.0,15.231546,13.0,10.29563,7.2111025,11.401754,21.931713,18.867962,17.088007,24.166092
14,10.198039,19.416489,8.246211,12.0415945,12.0415945,5.0,19.723083,3.6055512,23.323807,1.0,15.264338,1.0,17.088007,0.0,2.828427,13.341664,18.0,1.0,4.0,28.071337,14.56022,1.0,5.0,29.614185,20.880613,28.79236,5.0,6.0827627,30.016663,37.735924
15,13.601471,13.453624,14.866069,9.0,7.28011,10.0,13.453624,6.4031243,17.720045,8.602325,10.049875,1.0,13.0,2.828427,0.0,10.049875,15.524175,5.0,2.828427,25.96151,13.892444,3.0,6.708204,28.231188,20.12461,27.730848,10.440307,11.0,30.0,37.802116
16,22.627417,11.0,26.41969,14.866069,8.944272,21.470911,6.0827627,17.888544,7.81025,21.189621,1.0,13.0,1.0,13.341664,10.049875,0.0,1.0,16.27882,1.0,11.18034,1.0,11.401754,8.5440035,13.416408,6.4031243,13.038404,17.464249,14.422205,17.492855,24.839485
17,28.284271,14.56022,32.24903,20.518284,14.764823,27.294687,9.486833,23.70654,8.0,26.925823,5.8309517,18.0,1.0,18.0,15.524175,1.0,0.0,21.0,4.1231055,1.0,1.0,15.297058,12.369317,3.6055512,1.0,4.1231055,21.189621,17.888544,9.848858,17.0
18,18.0,22.671568,16.27882,17.0,16.124516,12.649111,22.472204,10.049875,25.942244,8.246211,17.888544,2.236068,19.924858,1.0,5.0,16.27882,21.0,0.0,7.0,31.0,17.117243,2.0,6.3245554,32.24903,23.345236,31.04835,4.472136,5.8309517,31.780497,39.357338
19,19.235384,13.341664,21.213203,13.0,10.198039,16.27882,10.440307,12.727922,12.0415945,14.866069,5.0990195,4.0,5.0,4.0,2.828427,1.0,4.1231055,7.0,0.0,14.0,1.0,1.4142135,1.0,15.297058,6.708204,14.56022,7.81025,6.3245554,16.40122,24.207438
20,37.802116,21.470911,42.48529,29.832869,23.345236,37.576588,16.643316,34.0147,13.928389,37.336308,14.21267,28.160255,6.708204,28.071337,25.96151,11.18034,1.0,31.0,14.0,0.0,6.0,25.0,22.0,1.0,1.0,3.0,30.149628,26.305893,8.0,14.56022
21,28.284271,18.0,31.400637,20.808653,15.811388,26.400757,13.0,22.803509,12.165525,25.553865,8.0,14.866069,3.0,14.56022,13.892444,1.0,1.0,17.117243,1.0,6.0,0.0,11.045361,8.0,7.28011,1.0,6.708204,16.03122,12.165525,9.219544,17.029387
22,19.646883,19.723083,20.248457,16.03122,14.3178215,15.652476,18.439089,12.083046,21.633308,13.453624,13.601471,1.4142135,15.231546,1.0,3.0,11.401754,15.297058,2.0,1.4142135,25.0,11.045361,0.0,1.0,26.172504,17.262676,25.0,1.0,1.0,25.942244,33.54102
23,23.769728,20.880613,24.698177,19.026299,17.0,20.12461,18.027756,16.552946,20.518284,17.691807,12.806249,5.8309517,13.0,5.0,6.708204,8.5440035,12.369317,6.3245554,1.0,22.0,8.0,1.0,0.0,23.0,13.601471,21.377558,4.0,1.0,21.931713,29.529646
24,41.109608,25.0,45.276924,33.24154,26.870058,40.311287,20.248457,36.71512,17.20465,39.812057,17.691807,29.832869,10.29563,29.614185,28.231188,13.416408,3.6055512,32.24903,15.297058,1.0,7.28011,26.172504,23.0,0.0,1.0,1.0,31.016125,27.073973,1.0,7.071068
25,34.655445,21.587032,37.802116,27.018513,21.470911,32.80244,16.492422,29.206163,15.0,31.906113,12.529964,21.189621,7.2111025,20.880613,20.12461,6.4031243,1.0,23.345236,6.708204,1.0,1.0,17.262676,13.601471,1.0,0.0,1.0,20.024984,16.124516,1.0,7.2111025
26,41.036568,26.0,44.94441,33.24154,27.018513,39.962482,21.023796,36.359318,18.681541,39.357338,17.804493,29.12044,11.401754,28.79236,27.730848,13.038404,4.1231055,31.04835,14.56022,3.0,6.708204,25.0,21.377558,1.0,1.0,0.0,29.0,25.0,1.0,7.615773
27,26.076809,27.784887,25.298222,23.537205,22.135944,21.377558,26.172504,18.110771,29.068884,17.464249,21.213203,8.062258,21.931713,5.0,10.440307,17.464249,21.189621,4.472136,7.81025,30.149628,16.03122,1.0,4.0,31.016125,20.024984,29.0,0.0,1.0,28.160255,34.48188
