Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0.0,13.0,26.305893,1.0,1.0,5.0,12.0,1.0,12.529964,24.41311,1.0,5.3851647,9.0,15.0,32.449963,27.018513,24.738634,23.086792
2,13.0,0.0,7.81025,17.262676,7.28011,1.0,1.0,17.464249,1.4142135,7.615773,14.866069,7.615773,17.20465,13.038404,17.029387,16.124516,27.784887,25.179358
3,26.305893,7.81025,0.0,31.95309,22.36068,16.124516,13.152946,32.31099,6.708204,1.0,29.966648,21.931713,29.068884,18.384777,10.049875,18.35756,36.23534,30.232433
4,1.0,17.262676,31.95309,0.0,3.0,9.486833,16.0,1.0,15.524175,26.832815,2.236068,7.2111025,10.198039,17.029387,34.669872,29.206163,26.24881,24.698177
5,1.0,7.28011,22.36068,3.0,0.0,1.0,6.0,3.0,5.0990195,16.643316,1.0,1.0,5.3851647,9.848858,24.839485,19.849434,20.22375,18.439089
6,5.0,1.0,16.124516,9.486833,1.0,0.0,1.0,9.848858,1.0,12.727922,7.28011,1.0,8.944272,9.0,21.260292,17.0,22.090721,20.09975
7,12.0,1.0,13.152946,16.0,6.0,1.0,0.0,15.231546,1.0,7.28011,12.165525,2.236068,11.661903,9.0,16.27882,15.132746,23.086792,21.189621
8,1.0,17.464249,32.31099,1.0,3.0,9.848858,15.231546,0.0,13.0,22.203604,1.0,1.0,1.0,9.848858,28.79236,22.472204,16.552946,15.264338
9,12.529964,1.4142135,6.708204,15.524175,5.0990195,1.0,1.0,13.0,0.0,1.0,11.0,1.0,5.3851647,1.0,7.81025,3.6055512,15.0,12.369317
10,24.41311,7.615773,1.0,26.832815,16.643316,12.727922,7.28011,22.203604,1.0,0.0,21.189621,10.049875,14.035668,1.0,1.0,1.0,17.691807,11.661903
11,1.0,14.866069,29.966648,2.236068,1.0,7.28011,12.165525,1.0,11.0,21.189621,0.0,1.0,2.0,9.433981,28.231188,22.203604,17.720045,16.155495
12,5.3851647,7.615773,21.931713,7.2111025,1.0,1.0,2.236068,1.0,1.0,10.049875,1.0,0.0,1.0,1.0,17.0,11.401754,13.0,11.0
13,9.0,17.20465,29.068884,10.198039,5.3851647,8.944272,11.661903,1.0,5.3851647,14.035668,2.0,1.0,0.0,1.0,19.646883,13.038404,7.0,5.0990195
14,15.0,13.038404,18.384777,17.029387,9.848858,9.0,9.0,9.848858,1.0,1.0,9.433981,1.0,1.0,0.0,5.0,1.0,2.236068,1.0
15,32.449963,17.029387,10.049875,34.669872,24.839485,21.260292,16.27882,28.79236,7.81025,1.0,28.231188,17.0,19.646883,5.0,0.0,1.0,16.552946,9.433981
16,27.018513,16.124516,18.35756,29.206163,19.849434,17.0,15.132746,22.472204,3.6055512,1.0,22.203604,11.401754,13.038404,1.0,1.0,0.0,7.28011,1.0
17,24.738634,27.784887,36.23534,26.24881,20.22375,22.090721,23.086792,16.552946,15.0,17.691807,17.720045,13.0,7.0,2.236068,16.552946,7.28011,0.0,1.0
18,23.086792,25.179358,30.232433,24.698177,18.439089,20.09975,21.189621,15.264338,12.369317,11.661903,16.155495,11.0,5.0990195,1.0,9.433981,1.0,1.0,0.0
