Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.0,1.0,6.3245554,1.0,15.524175,8.602325,3.6055512,24.166092,7.81025,12.649111,30.0,12.369317,12.165525,15.231546,14.142136,18.681541,19.849434,25.0,31.241,23.769728,30.870699,37.802116,37.44329
2,1.0,0.0,1.0,1.0,7.81025,3.6055512,1.0,17.029387,7.2111025,10.0,23.43075,15.811388,16.40122,14.3178215,12.0,19.026299,15.264338,20.59126,25.806976,21.023796,27.202942,33.286633,33.12099
3,6.3245554,1.0,0.0,5.0,1.0,1.0,1.0,7.615773,8.944272,4.1231055,13.453624,17.691807,18.439089,14.422205,11.18034,15.231546,6.0827627,9.848858,14.866069,16.124516,19.026299,22.847319,23.086792
4,1.0,1.0,5.0,0.0,14.0,6.0827627,1.0,21.540659,1.0,7.81025,26.925823,6.0827627,6.3245554,8.062258,7.81025,12.0,15.6205,21.213203,28.01785,17.804493,26.076809,33.941124,33.30165
5,15.524175,7.81025,1.0,14.0,0.0,1.0,7.071068,1.0,11.18034,3.6055512,6.708204,20.248457,22.561028,15.556349,11.313708,14.422205,5.0990195,7.071068,9.486833,15.264338,18.027756,19.104973,20.0
6,8.602325,3.6055512,1.0,6.0827627,1.0,0.0,1.0,7.615773,4.472136,1.0,12.529964,13.892444,15.811388,10.0,6.4031243,11.18034,3.0,7.81025,13.601471,12.165525,16.0,20.59126,20.615528
7,3.6055512,1.0,1.0,1.0,7.071068,1.0,0.0,13.601471,1.0,1.0,18.384777,9.219544,9.899495,5.8309517,3.0,10.049875,7.071068,12.0415945,19.235384,12.0,18.027756,24.839485,24.41311
8,24.166092,17.029387,7.615773,21.540659,1.0,7.615773,13.601471,0.0,17.262676,8.0,1.0,25.0,27.166155,17.464249,13.152946,14.866069,6.708204,1.0,2.236068,12.727922,12.369317,12.0,13.0
9,7.81025,7.2111025,8.944272,1.0,11.18034,4.472136,1.0,17.262676,0.0,1.0,21.84033,1.0,1.4142135,1.0,1.0,5.0,8.485281,14.422205,22.472204,10.29563,18.439089,26.907248,26.172504
10,12.649111,10.0,4.1231055,7.81025,3.6055512,1.0,1.0,8.0,1.0,0.0,12.369317,8.246211,11.0,4.1231055,1.0,4.1231055,1.0,5.656854,13.0,5.0990195,11.18034,18.384777,17.804493
11,30.0,23.43075,13.453624,26.925823,6.708204,12.529964,18.384777,1.0,21.84033,12.369317,0.0,29.0,31.016125,21.095022,17.0,18.248287,10.049875,1.0,1.0,14.422205,12.529964,10.440307,12.083046
12,12.369317,15.811388,17.691807,6.0827627,20.248457,13.892444,9.219544,25.0,1.0,8.246211,29.0,0.0,1.0,1.0,5.0,1.0,12.0,18.973665,29.0,10.0,19.697716,29.732138,27.294687
13,12.165525,16.40122,18.439089,6.3245554,22.561028,15.811388,9.899495,27.166155,1.4142135,11.0,31.016125,1.0,0.0,3.0,7.615773,2.236068,14.0,20.880613,31.0,11.661903,21.470911,31.622776,29.068884
14,15.231546,14.3178215,14.422205,8.062258,15.556349,10.0,5.8309517,17.464249,1.0,4.1231055,21.095022,1.0,3.0,0.0,1.0,1.0,4.0,11.18034,21.023796,3.6055512,12.206555,21.931713,20.0
15,14.142136,12.0,11.18034,7.81025,11.313708,6.4031243,3.0,13.152946,1.0,1.0,17.0,5.0,7.615773,1.0,0.0,1.0,1.0,8.062258,17.029387,2.0,9.899495,19.235384,17.691807
16,18.681541,19.026299,15.231546,12.0,14.422205,11.18034,10.049875,14.866069,5.0,4.1231055,18.248287,1.0,2.236068,1.0,1.0,0.0,1.0,8.062258,18.110771,1.0,9.219544,18.788294,17.029387
17,19.849434,15.264338,6.0827627,15.6205,5.0990195,3.0,7.071068,6.708204,8.485281,1.0,10.049875,12.0,14.0,4.0,1.0,1.0,0.0,1.0,10.0,1.0,2.236068,10.816654,9.899495
18,25.0,20.59126,9.848858,21.213203,7.071068,7.81025,12.0415945,1.0,14.422205,5.656854,1.0,18.973665,20.880613,11.18034,8.062258,8.062258,1.0,0.0,1.0,1.0,1.0,1.0,1.0
19,31.241,25.806976,14.866069,28.01785,9.486833,13.601471,19.235384,2.236068,22.472204,13.0,1.0,29.0,31.0,21.023796,17.029387,18.110771,10.0,1.0,0.0,12.0,4.472136,1.0,2.828427
20,23.769728,21.023796,16.124516,17.804493,15.264338,12.165525,12.0,12.727922,10.29563,5.0990195,14.422205,10.0,11.661903,3.6055512,2.0,1.0,1.0,1.0,12.0,0.0,1.0,11.045361,8.062258
21,30.870699,27.202942,19.026299,26.076809,18.027756,16.0,18.027756,12.369317,18.439089,11.18034,12.529964,19.697716,21.470911,12.206555,9.899495,9.219544,2.236068,1.0,4.472136,1.0,0.0,3.0,1.0
22,37.802116,33.286633,22.847319,33.941124,19.104973,20.59126,24.839485,12.0,26.907248,18.384777,10.440307,29.732138,31.622776,21.931713,19.235384,18.788294,10.816654,1.0,1.0,11.045361,3.0,0.0,1.0
23,37.44329,33.12099,23.086792,33.30165,20.0,20.615528,24.41311,13.0,26.172504,17.804493,12.083046,27.294687,29.068884,20.0,17.691807,17.029387,9.899495,1.0,2.828427,8.062258,1.0,1.0,0.0
