Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,0.0,1.0,1.0,6.708204,8.062258,17.691807,6.3245554,5.0,30.016663,13.453624,32.526913,25.942244,26.925823,25.806976,27.658634,38.587563,37.735924,37.85499,34.234486,42.426407,41.59327,47.042534,47.169907,57.48913,55.0,60.299255
2,1.0,0.0,1.0,3.0,1.0,9.899495,1.0,1.0,26.400757,9.219544,26.41969,21.400934,21.954498,17.492855,20.09975,30.610456,29.529646,30.265491,27.0,35.057095,35.902645,39.56008,41.0,51.92302,48.04165,53.037724
3,1.0,1.0,0.0,18.0,1.0,1.0,2.828427,9.055386,11.313708,20.808653,14.422205,28.42534,27.784887,7.615773,12.165525,20.615528,19.697716,24.738634,23.70654,30.083218,36.23534,31.144823,39.446167,51.62364,43.965897,47.67599
4,6.708204,3.0,18.0,0.0,13.601471,25.298222,10.440307,1.0,43.011627,1.0,42.72002,2.828427,1.0,30.413813,25.495098,43.56604,40.60788,34.669872,30.016663,38.013157,28.01785,40.24922,37.336308,42.0119,46.238514,53.66563
5,8.062258,1.0,1.0,13.601471,0.0,1.0,1.0,4.0,18.027756,15.6205,17.262676,23.345236,23.345236,5.8309517,10.198039,19.104973,17.888544,22.561028,21.470911,27.89265,33.600594,29.15476,37.12142,49.24429,41.761227,45.54119
6,17.691807,9.899495,1.0,25.298222,1.0,0.0,2.236068,14.142136,1.0,22.36068,1.0,28.79236,27.294687,1.0,5.3851647,4.1231055,8.0,19.235384,20.518284,25.495098,34.058773,23.0,35.846897,48.414875,39.357338,41.761227
7,6.3245554,1.0,2.828427,10.440307,1.0,2.236068,0.0,1.0,20.0,5.3851647,19.104973,11.401754,10.0,6.4031243,5.0,19.849434,16.643316,15.0,12.0415945,20.0,20.615528,23.769728,25.495098,36.769554,33.0,38.0
8,5.0,1.0,9.055386,1.0,4.0,14.142136,1.0,0.0,32.24903,1.0,31.575306,6.3245554,5.656854,18.788294,8.485281,29.832869,25.059929,17.492855,13.0,21.189621,19.104973,25.179358,25.0,34.928497,33.0,38.63936
9,30.016663,26.400757,11.313708,43.011627,18.027756,1.0,20.0,32.24903,0.0,39.623226,1.0,45.705578,43.416588,5.3851647,16.970562,7.071068,14.142136,29.698484,33.600594,35.35534,48.010414,26.400757,47.38143,60.811184,49.497475,48.82622
10,13.453624,9.219544,20.808653,1.0,15.6205,22.36068,5.3851647,1.0,39.623226,0.0,38.052597,1.0,1.0,24.0,11.661903,34.525352,29.15476,19.79899,14.3178215,21.931713,15.0,23.70654,21.377558,30.413813,30.083218,37.161808
11,32.526913,26.41969,14.422205,42.72002,17.262676,1.0,19.104973,31.575306,1.0,38.052597,0.0,44.102154,41.4367,1.0,13.038404,2.236068,9.219544,24.758837,30.016663,30.413813,44.418465,22.135944,42.80187,56.22277,44.553337,44.102154
12,25.942244,21.400934,28.42534,2.828427,23.345236,28.79236,11.401754,6.3245554,45.705578,1.0,44.102154,0.0,1.0,30.0,16.763054,40.311287,34.48188,23.600847,17.0,25.455845,14.866069,26.832815,23.409399,28.635643,32.572994,40.24922
13,26.925823,21.954498,27.784887,1.0,23.345236,27.294687,10.0,5.656854,43.416588,1.0,41.4367,1.0,0.0,27.166155,13.038404,37.01351,30.594116,18.867962,12.0415945,20.518284,1.0,21.931713,15.811388,13.601471,23.323807,33.24154
