Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.0,1.0,10.0,8.485281,10.198039,25.495098,4.0,28.284271,20.0,22.803509,30.610456,30.016663,30.675724,40.24922,36.013885
2,1.0,0.0,1.0,1.0,4.472136,12.727922,13.928389,17.088007,14.3178215,16.03122,20.615528,27.58623,26.400757,37.64306,30.413813
3,10.0,1.0,0.0,1.0,2.236068,2.236068,22.203604,5.0,8.485281,8.062258,8.246211,26.832815,21.633308,35.468296,23.345236
4,8.485281,1.0,1.0,0.0,1.0,9.055386,17.117243,10.770329,6.4031243,6.3245554,12.0415945,23.43075,19.723083,33.24154,21.84033
5,10.198039,4.472136,2.236068,1.0,0.0,10.0,12.165525,11.401754,1.0,1.0,12.083046,16.552946,13.038404,25.455845,16.155495
6,25.495098,12.727922,2.236068,9.055386,10.0,0.0,32.0,1.0,14.56022,13.601471,5.0990195,34.539833,25.806976,41.59327,22.36068
7,4.0,13.928389,22.203604,17.117243,12.165525,32.0,0.0,33.0,8.5440035,11.18034,30.083218,1.0,5.656854,9.0,17.029387
8,28.284271,17.088007,5.0,10.770329,11.401754,1.0,33.0,0.0,15.0,14.0,1.0,33.734257,23.769728,39.812057,17.492855
9,20.0,14.3178215,8.485281,6.4031243,1.0,14.56022,8.5440035,15.0,0.0,1.0,13.416408,6.3245554,1.0,13.601471,7.2111025
10,22.803509,16.03122,8.062258,6.3245554,1.0,13.601471,11.18034,14.0,1.0,0.0,10.29563,8.0,1.0,14.3178215,1.0
11,30.610456,20.615528,8.246211,12.0415945,12.083046,5.0990195,30.083218,1.0,13.416408,10.29563,0.0,28.0,17.0,31.780497,7.071068
12,30.016663,27.58623,26.832815,23.43075,16.552946,34.539833,1.0,33.734257,6.3245554,8.0,28.0,0.0,1.0,1.0,10.29563
13,30.675724,26.400757,21.633308,19.723083,13.038404,25.806976,5.656854,23.769728,1.0,1.0,17.0,1.0,0.0,1.0,1.0
14,40.24922,37.64306,35.468296,33.24154,25.455845,41.59327,9.0,39.812057,13.601471,14.3178215,31.780497,1.0,1.0,0.0,9.848858
15,36.013885,30.413813,23.345236,21.84033,16.155495,22.36068,17.029387,17.492855,7.2111025,1.0,7.071068,10.29563,1.0,9.848858,0.0
