Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.0,1.0,7.2111025,1.0,31.400637,22.36068,10.630146,8.0,16.124516,10.198039,24.41311,24.04163,20.0,24.41311,33.30165,30.463093
2,1.0,0.0,1.0,1.0,37.054016,27.313,6.0827627,10.0,13.038404,9.0,29.15476,28.284271,19.235384,28.284271,37.802116,33.286633
3,7.2111025,1.0,0.0,1.0,42.0,31.04835,1.0,9.433981,8.0,4.472136,32.01562,29.068884,14.866069,28.653097,39.39543,31.827662
4,1.0,1.0,1.0,0.0,32.0,20.22375,1.0,1.0,5.3851647,1.0,21.189621,19.209373,10.0,19.104973,29.15476,23.43075
5,31.400637,37.054016,42.0,32.0,0.0,1.0,42.0,32.0,43.416588,34.785053,1.0,12.206555,33.24154,20.518284,3.6055512,14.142136
6,22.36068,27.313,31.04835,20.22375,1.0,0.0,30.0,19.924858,31.016125,21.84033,1.0,2.0,20.248457,9.219544,8.944272,8.0
7,10.630146,6.0827627,1.0,1.0,42.0,30.0,0.0,7.0,1.0,1.0,30.016663,25.70992,5.656854,24.698177,36.138622,26.627054
8,8.0,10.0,9.433981,1.0,32.0,19.924858,7.0,0.0,8.0,1.0,19.646883,14.0,1.0,12.369317,24.186773,14.21267
9,16.124516,13.038404,8.0,5.3851647,43.416588,31.016125,1.0,8.0,0.0,1.0,31.0,26.0,1.0,23.537205,36.05551,24.351591
10,10.198039,9.0,4.472136,1.0,34.785053,21.84033,1.0,1.0,1.0,0.0,21.587032,16.0,1.0,14.3178215,26.172504,15.811388
11,24.41311,29.15476,32.01562,21.189621,1.0,1.0,30.016663,19.646883,31.0,21.587032,0.0,1.0,19.924858,7.2111025,1.0,1.0
12,24.04163,28.284271,29.068884,19.209373,12.206555,2.0,25.70992,14.0,26.0,16.0,1.0,0.0,14.0,1.0,2.828427,1.0
13,20.0,19.235384,14.866069,10.0,33.24154,20.248457,5.656854,1.0,1.0,1.0,19.924858,14.0,0.0,12.083046,24.083189,13.416408
14,24.41311,28.284271,28.653097,19.104973,20.518284,9.219544,24.698177,12.369317,23.537205,14.3178215,7.2111025,1.0,12.083046,0.0,7.0,1.0
15,33.30165,37.802116,39.39543,29.15476,3.6055512,8.944272,36.138622,24.186773,36.05551,26.172504,1.0,2.828427,24.083189,7.0,0.0,1.0
16,30.463093,33.286633,31.827662,23.43075,14.142136,8.0,26.627054,14.21267,24.351591,15.811388,1.0,1.0,13.416408,1.0,1.0,0.0
