Object,1,2,3,4,5,6,7,8,9,10
1,0.0,1.0,1.0,7.2111025,1.4142135,6.4031243,12.0415945,5.0,9.0,14.3178215
2,1.0,0.0,1.4142135,1.0,1.0,1.0,5.656854,7.81025,5.0,11.7046995
3,1.0,1.4142135,0.0,6.708204,1.0,5.656854,11.401754,1.0,5.0,8.944272
4,7.2111025,1.0,6.708204,0.0,3.0,1.0,1.0,8.944272,1.0,9.433981
5,1.4142135,1.0,1.0,3.0,0.0,1.0,6.0827627,1.0,1.0,6.0
6,6.4031243,1.0,5.656854,1.0,1.0,0.0,2.0,4.472136,1.0,7.615773
7,12.0415945,5.656854,11.401754,1.0,6.0827627,2.0,0.0,10.0,1.0,1.0
8,5.0,7.81025,1.0,8.944272,1.0,4.472136,10.0,0.0,1.0,1.0
9,9.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
10,14.3178215,11.7046995,8.944272,9.433981,6.0,7.615773,1.0,1.0,1.0,0.0
