Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0.0,1.0,1.0,1.0,8.062258,4.1231055,8.062258,14.3178215,6.0,16.970562,15.6205,12.0,11.18034,18.867962,14.035668,27.58623,18.027756,10.770329,21.931713,25.942244,24.186773,25.96151
2,1.0,0.0,10.049875,1.0,1.0,1.0,1.0,5.3851647,8.602325,6.4031243,5.3851647,14.142136,4.1231055,9.219544,12.806249,17.20465,13.601471,18.867962,14.0,17.117243,21.540659,21.023796
3,1.0,10.049875,0.0,1.0,15.297058,5.0990195,12.165525,23.0,1.0,21.189621,19.313208,4.472136,9.219544,20.12461,9.219544,31.780497,14.21267,1.0,19.79899,24.839485,18.027756,21.023796
4,1.0,1.0,1.0,0.0,7.81025,1.0,5.0,13.152946,1.0,14.142136,12.727922,7.0,5.8309517,14.866069,9.0,25.0,12.649111,8.485281,16.552946,20.808653,19.026299,20.615528
5,8.062258,1.0,15.297058,7.81025,0.0,4.0,1.0,1.0,10.29563,1.0,1.0,15.264338,1.0,4.1231055,12.806249,9.899495,10.29563,20.248457,9.055386,12.0,19.209373,16.763054
6,4.1231055,1.0,5.0990195,1.0,4.0,0.0,1.0,12.165525,1.0,9.055386,7.071068,5.656854,1.0,8.485281,5.0990195,19.697716,8.0,10.630146,10.29563,14.422205,15.033297,16.0
7,8.062258,1.0,12.165525,5.0,1.0,1.0,0.0,7.0,6.708204,3.1622777,1.4142135,11.661903,1.0,4.472136,9.433981,14.3178215,8.944272,16.552946,9.0,12.165525,17.0,16.03122
8,14.3178215,5.3851647,23.0,13.152946,1.0,12.165525,7.0,0.0,18.027756,1.0,1.0,22.36068,7.071068,1.0,18.788294,1.0,15.0,26.832815,12.0415945,10.770329,24.207438,19.79899
9,6.0,8.602325,1.0,1.0,10.29563,1.0,6.708204,18.027756,0.0,14.035668,12.0,1.0,1.0,11.7046995,1.0,23.409399,5.0,1.0,9.899495,15.264338,11.0,12.649111
10,16.970562,6.4031243,21.189621,14.142136,1.0,9.055386,3.1622777,1.0,14.035668,0.0,1.0,18.439089,3.1622777,4.472136,15.264338,8.602325,12.0415945,23.086792,9.848858,12.0,21.213203,17.888544
11,15.6205,5.3851647,19.313208,12.727922,1.0,7.071068,1.4142135,1.0,12.0,1.0,0.0,16.03122,1.0,1.0,12.083046,2.0,8.485281,20.12461,5.8309517,7.071068,17.691807,13.892444
12,12.0,14.142136,4.472136,7.0,15.264338,5.656854,11.661903,22.36068,1.0,18.439089,16.03122,0.0,4.0,14.142136,1.0,26.172504,5.0,1.0,11.18034,16.643316,9.0,11.661903
13,11.18034,4.1231055,9.219544,5.8309517,1.0,1.0,1.0,7.071068,1.0,3.1622777,1.0,4.0,0.0,1.0,1.0,12.083046,1.0,8.062258,1.0,5.0,8.246211,7.071068
14,18.867962,9.219544,20.12461,14.866069,4.1231055,8.485281,4.472136,1.0,11.7046995,4.472136,1.0,14.142136,1.0,0.0,9.0,1.0,4.1231055,16.492422,1.0,1.0,13.038404,8.485281
15,14.035668,12.806249,9.219544,9.0,12.806249,5.0990195,9.433981,18.788294,1.0,15.264338,12.083046,1.0,1.0,9.0,0.0,21.023796,1.0,1.0,5.8309517,10.440307,1.0,2.828427
16,27.58623,17.20465,31.780497,25.0,9.899495,19.697716,14.3178215,1.0,23.409399,8.602325,2.0,26.172504,12.083046,1.0,21.023796,0.0,15.811388,27.0,9.848858,1.0,22.0,12.369317
17,18.027756,13.601471,14.21267,12.649111,10.29563,8.0,8.944272,15.0,5.0,12.0415945,8.485281,5.0,1.0,4.1231055,1.0,15.811388,0.0,6.0,1.0,4.472136,1.0,1.0
18,10.770329,18.867962,1.0,8.485281,20.248457,10.630146,16.552946,26.832815,1.0,23.086792,20.12461,1.0,8.062258,16.492422,1.0,27.0,6.0,0.0,12.0,15.132746,1.0,6.3245554
19,21.931713,14.0,19.79899,16.552946,9.055386,10.29563,9.0,12.0415945,9.899495,9.848858,5.8309517,11.18034,1.0,1.0,5.8309517,9.848858,1.0,12.0,0.0,1.0,7.0,1.0
20,25.942244,17.117243,24.839485,20.808653,12.0,14.422205,12.165525,10.770329,15.264338,12.0,7.071068,16.643316,5.0,1.0,10.440307,1.0,4.472136,15.132746,1.0,0.0,10.0,1.0
21,24.186773,21.540659,18.027756,19.026299,19.209373,15.033297,17.0,24.207438,11.0,21.213203,17.691807,9.0,8.246211,13.038404,1.0,22.0,1.0,1.0,7.0,10.0,0.0,1.0
22,25.96151,21.023796,21.023796,20.615528,16.763054,16.0,16.03122,19.79899,12.649111,17.888544,13.892444,11.661903,7.071068,8.485281,2.828427,12.369317,1.0,6.3245554,1.0,1.0,1.0,0.0
