Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1,0.0,1.0,1.0,4.472136,7.2111025,1.0,11.18034,4.472136,9.848858,16.970562,18.439089,11.401754,10.770329,13.038404,23.600847,21.213203,20.59126,21.213203,20.248457,17.0,28.01785,24.083189,31.38471,28.0,30.463093,46.8615,26.925823,34.058773,31.575306,32.38827,43.13931,37.576588,53.740116,40.024994,38.0,37.054016,39.92493,45.486263,43.68066,44.94441,46.09772,57.801384
2,1.0,0.0,4.0,14.0,1.0,1.0,15.811388,6.4031243,13.453624,20.248457,25.632011,5.0990195,7.28011,13.038404,26.400757,23.43075,14.56022,21.023796,21.400934,16.124516,29.832869,23.259407,25.079872,25.70992,31.622776,39.824615,22.090721,27.202942,28.071337,31.780497,36.069378,31.622776,46.66905,36.013885,35.69314,35.44009,40.81666,38.948685,39.20459,39.812057,40.5216,51.42956
3,1.0,4.0,0.0,1.0,10.198039,1.0,2.828427,1.0,1.4142135,8.602325,12.369317,11.401754,8.5440035,10.0,15.264338,13.0,19.79899,18.0,15.132746,14.035668,20.615528,21.0,30.232433,25.079872,25.079872,48.373547,25.059929,33.970577,29.12044,29.0,43.185646,35.846897,53.75872,37.64306,35.057095,33.06055,34.36568,44.65423,41.4367,42.953465,44.294468,56.61272
4,4.472136,14.0,1.0,0.0,20.0,10.0,1.0,1.4142135,1.0,1.0,1.0,19.313208,14.422205,8.5440035,8.062258,9.219544,26.925823,18.788294,13.0,17.029387,16.0,20.615528,36.069378,26.832815,22.36068,56.364883,30.413813,41.04875,32.24903,27.856777,50.219517,41.036568,60.60528,40.706264,36.05551,30.265491,31.06445,50.20956,44.94441,47.201694,49.0408,62.241467
5,7.2111025,1.0,10.198039,20.0,0.0,1.0,21.0,9.486833,13.928389,23.345236,30.066593,1.0,4.2426405,11.401754,28.460499,25.079872,5.8309517,18.439089,19.849434,13.453624,29.206163,20.248457,18.027756,22.135944,29.698484,29.832869,17.464249,18.384777,24.186773,28.653097,26.24881,25.019993,36.796738,31.575306,32.01562,31.95309,38.418747,30.675724,34.0,34.0,34.058773,43.32436
6,1.0,1.0,1.0,10.0,1.0,0.0,11.0,1.0,5.0,13.928389,20.22375,1.0,1.0,3.6055512,19.313208,16.124516,9.433981,11.7046995,12.0415945,7.071068,21.213203,14.3178215,20.248457,18.0,22.203604,37.215588,16.27882,23.345236,21.213203,22.803509,32.526913,26.400757,43.13931,29.614185,28.0,27.166155,31.38471,34.4093,33.24154,34.20526,35.1141,46.647614
7,11.18034,15.811388,2.828427,1.0,21.0,11.0,0.0,2.236068,1.0,1.0,3.6055512,19.416489,13.928389,3.1622777,7.071068,5.0990195,26.400757,14.422205,8.062258,14.422205,12.649111,15.652476,34.132095,22.472204,18.0,56.0803,28.01785,40.24922,27.730848,22.803509,49.193497,38.418747,59.07622,36.359318,31.304953,26.0,27.018513,47.423622,41.231056,43.863426,45.96738,59.548298
8,4.472136,6.4031243,1.0,1.4142135,9.486833,1.0,2.236068,0.0,1.0,7.071068,12.083046,7.0,1.0,1.0,13.453624,10.630146,12.649111,8.5440035,8.062258,4.0,16.970562,11.18034,21.213203,15.0,18.35756,42.379242,15.6205,26.41969,18.973665,19.646883,35.510563,26.400757,45.80393,27.513634,25.0,24.083189,27.730848,35.468296,31.38471,33.12099,34.669872,47.507893
9,9.848858,13.453624,1.4142135,1.0,13.928389,5.0,1.0,1.0,0.0,1.0,8.0,11.18034,5.0,1.0,6.4031243,3.6055512,16.763054,8.246211,5.0,5.8309517,10.770329,11.0,24.839485,16.155495,15.0,46.486557,19.104973,30.413813,21.470911,19.0,39.446167,29.732138,49.648766,29.966648,25.70992,23.0,24.186773,38.8973,34.0,36.05551,37.802116,50.931328
10,16.970562,20.248457,8.602325,1.0,23.345236,13.928389,1.0,7.071068,1.0,0.0,1.0,21.023796,14.035668,1.0,1.0,1.0,25.0,10.630146,3.1622777,12.369317,7.0,11.18034,31.780497,18.439089,13.0,55.31727,25.495098,38.483765,23.323807,18.027756,47.169907,35.510563,56.435802,32.202484,26.925823,21.0,22.022715,44.20407,37.48333,40.311287,42.638012,56.400356
11,18.439089,25.632011,12.369317,1.0,30.066593,20.22375,3.6055512,12.083046,8.0,1.0,0.0,28.01785,22.090721,8.246211,1.0,5.0,32.984844,17.888544,9.848858,20.396078,8.944272,17.029387,39.56008,24.758837,16.124516,63.348244,33.12099,46.238514,29.0,22.803509,55.027267,42.941822,63.953106,38.183765,32.55764,23.259407,23.259407,51.312767,44.04543,47.010635,49.648766,63.51378
12,11.401754,5.0990195,11.401754,19.313208,1.0,1.0,19.416489,7.0,11.18034,21.023796,28.01785,0.0,1.0,8.062258,25.70992,22.135944,1.0,13.416408,16.40122,4.2426405,25.495098,14.3178215,10.198039,13.416408,24.186773,25.23886,7.0,12.0415945,13.928389,21.260292,21.213203,16.552946,31.827662,21.095022,22.36068,23.021729,31.400637,23.70654,24.020824,24.5153,25.298222,36.249138
13,10.770329,7.28011,8.5440035,14.422205,4.2426405,1.0,13.928389,1.0,5.0,14.035668,22.090721,1.0,0.0,1.0,18.0,14.035668,1.0,5.656854,7.2111025,1.0,16.643316,7.071068,8.602325,8.246211,16.970562,30.083218,4.0,13.892444,10.440307,15.0,22.825424,14.3178215,33.01515,18.0,18.248287,18.027756,25.455845,23.021729,21.095022,21.84033,22.847319,35.0
14,13.038404,13.038404,10.0,8.5440035,11.401754,3.6055512,3.1622777,1.0,1.0,1.0,8.246211,8.062258,1.0,0.0,4.0,1.0,12.083046,1.0,1.0,1.0,6.708204,3.1622777,19.697716,8.5440035,9.899495,41.761227,13.416408,25.495098,13.892444,11.0,34.48188,23.600847,44.418465,22.36068,17.720045,16.03122,18.867962,32.55764,26.627054,29.068884,31.112698,44.687805
15,23.600847,26.400757,15.264338,8.062258,28.460499,19.313208,7.071068,13.453624,6.4031243,1.0,1.0,25.70992,18.0,4.0,0.0,1.0,28.635643,13.0,3.0,16.124516,1.0,9.848858,34.525352,17.464249,6.4031243,59.03389,27.202942,41.0,20.808653,14.21267,50.01,36.769554,57.939625,30.232433,24.41311,13.416408,13.601471,44.72136,36.23534,39.824615,42.941822,56.435802
16,21.213203,23.43075,13.0,9.219544,25.079872,16.124516,5.0990195,10.630146,3.6055512,1.0,5.0,22.135944,14.035668,1.0,1.0,0.0,24.186773,8.5440035,1.0,12.0,1.0,7.2111025,30.364452,14.866069,6.708204,54.589375,23.70654,37.0,19.104973,13.038404,45.88028,33.54102,54.56189,28.284271,22.671568,14.3178215,15.033297,41.677334,34.20526,37.202152,39.962482,53.823788
17,20.59126,14.56022,19.79899,26.925823,5.8309517,9.433981,26.400757,12.649111,16.763054,25.0,32.984844,1.0,1.0,12.083046,28.635643,24.186773,0.0,12.0,16.03122,1.0,23.194826,11.18034,1.0,7.81025,20.615528,20.09975,1.0,3.1622777,8.062258,17.0,12.206555,7.071068,22.671568,14.3178215,16.643316,17.691807,26.172504,13.892444,16.124516,16.0,16.124516,26.400757
18,21.213203,21.023796,18.0,18.788294,18.439089,11.7046995,14.422205,8.5440035,8.246211,10.630146,17.888544,13.416408,5.656854,1.0,13.0,8.5440035,12.0,0.0,1.0,1.0,8.062258,1.0,17.720045,5.0,7.81025,42.190044,11.401754,24.351591,10.630146,8.0,33.24154,21.095022,42.059483,18.788294,14.3178215,13.0,16.40122,29.832869,23.43075,26.172504,28.319605,42.0119
