ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_Image_c1,Intensity_IntegratedIntensityEdge_Image_c2,Intensity_IntegratedIntensityEdge_Image_c3,Intensity_IntegratedIntensityEdge_Image_c4,Intensity_IntegratedIntensityEdge_Image_c5,Intensity_IntegratedIntensity_Image_c1,Intensity_IntegratedIntensity_Image_c2,Intensity_IntegratedIntensity_Image_c3,Intensity_IntegratedIntensity_Image_c4,Intensity_IntegratedIntensity_Image_c5,Intensity_LowerQuartileIntensity_Image_c1,Intensity_LowerQuartileIntensity_Image_c2,Intensity_LowerQuartileIntensity_Image_c3,Intensity_LowerQuartileIntensity_Image_c4,Intensity_LowerQuartileIntensity_Image_c5,Intensity_MADIntensity_Image_c1,Intensity_MADIntensity_Image_c2,Intensity_MADIntensity_Image_c3,Intensity_MADIntensity_Image_c4,Intensity_MADIntensity_Image_c5,Intensity_MassDisplacement_Image_c1,Intensity_MassDisplacement_Image_c2,Intensity_MassDisplacement_Image_c3,Intensity_MassDisplacement_Image_c4,Intensity_MassDisplacement_Image_c5,Intensity_MaxIntensityEdge_Image_c1,Intensity_MaxIntensityEdge_Image_c2,Intensity_MaxIntensityEdge_Image_c3,Intensity_MaxIntensityEdge_Image_c4,Intensity_MaxIntensityEdge_Image_c5,Intensity_MaxIntensity_Image_c1,Intensity_MaxIntensity_Image_c2,Intensity_MaxIntensity_Image_c3,Intensity_MaxIntensity_Image_c4,Intensity_MaxIntensity_Image_c5,Intensity_MeanIntensityEdge_Image_c1,Intensity_MeanIntensityEdge_Image_c2,Intensity_MeanIntensityEdge_Image_c3,Intensity_MeanIntensityEdge_Image_c4,Intensity_MeanIntensityEdge_Image_c5,Intensity_MeanIntensity_Image_c1,Intensity_MeanIntensity_Image_c2,Intensity_MeanIntensity_Image_c3,Intensity_MeanIntensity_Image_c4,Intensity_MeanIntensity_Image_c5,Intensity_MedianIntensity_Image_c1,Intensity_MedianIntensity_Image_c2,Intensity_MedianIntensity_Image_c3,Intensity_MedianIntensity_Image_c4,Intensity_MedianIntensity_Image_c5,Intensity_MinIntensityEdge_Image_c1,Intensity_MinIntensityEdge_Image_c2,Intensity_MinIntensityEdge_Image_c3,Intensity_MinIntensityEdge_Image_c4,Intensity_MinIntensityEdge_Image_c5,Intensity_MinIntensity_Image_c1,Intensity_MinIntensity_Image_c2,Intensity_MinIntensity_Image_c3,Intensity_MinIntensity_Image_c4,Intensity_MinIntensity_Image_c5,Intensity_StdIntensityEdge_Image_c1,Intensity_StdIntensityEdge_Image_c2,Intensity_StdIntensityEdge_Image_c3,Intensity_StdIntensityEdge_Image_c4,Intensity_StdIntensityEdge_Image_c5,Intensity_StdIntensity_Image_c1,Intensity_StdIntensity_Image_c2,Intensity_StdIntensity_Image_c3,Intensity_StdIntensity_Image_c4,Intensity_StdIntensity_Image_c5,Intensity_UpperQuartileIntensity_Image_c1,Intensity_UpperQuartileIntensity_Image_c2,Intensity_UpperQuartileIntensity_Image_c3,Intensity_UpperQuartileIntensity_Image_c4,Intensity_UpperQuartileIntensity_Image_c5,Location_CenterMassIntensity_X_Image_c1,Location_CenterMassIntensity_X_Image_c2,Location_CenterMassIntensity_X_Image_c3,Location_CenterMassIntensity_X_Image_c4,Location_CenterMassIntensity_X_Image_c5,Location_CenterMassIntensity_Y_Image_c1,Location_CenterMassIntensity_Y_Image_c2,Location_CenterMassIntensity_Y_Image_c3,Location_CenterMassIntensity_Y_Image_c4,Location_CenterMassIntensity_Y_Image_c5,Location_CenterMassIntensity_Z_Image_c1,Location_CenterMassIntensity_Z_Image_c2,Location_CenterMassIntensity_Z_Image_c3,Location_CenterMassIntensity_Z_Image_c4,Location_CenterMassIntensity_Z_Image_c5,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Image_c1,Location_MaxIntensity_X_Image_c2,Location_MaxIntensity_X_Image_c3,Location_MaxIntensity_X_Image_c4,Location_MaxIntensity_X_Image_c5,Location_MaxIntensity_Y_Image_c1,Location_MaxIntensity_Y_Image_c2,Location_MaxIntensity_Y_Image_c3,Location_MaxIntensity_Y_Image_c4,Location_MaxIntensity_Y_Image_c5,Location_MaxIntensity_Z_Image_c1,Location_MaxIntensity_Z_Image_c2,Location_MaxIntensity_Z_Image_c3,Location_MaxIntensity_Z_Image_c4,Location_MaxIntensity_Z_Image_c5,Neighbors_AngleBetweenNeighbors_8,Neighbors_FirstClosestDistance_8,Neighbors_FirstClosestObjectNumber_8,Neighbors_NumberOfNeighbors_8,Neighbors_PercentTouching_8,Neighbors_SecondClosestDistance_8,Neighbors_SecondClosestObjectNumber_8,Number_Object_Number
1,1,3.051804378628731e-05,0.0,4.577706567943096e-05,3.051804378628731e-05,0.00015259021893143654,6.103608757257462e-05,4.577706567943096e-05,7.629510946571827e-05,9.155413135886192e-05,0.0007171740289777517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5322808539509414,2.6057792443116634,2.8828404795911307,0.9885671232976321,0.2184542403118187,3.051804378628731e-05,0.0,1.5259021893143654e-05,1.5259021893143654e-05,4.577706567943096e-05,3.051804378628731e-05,3.051804378628731e-05,1.5259021893143654e-05,1.5259021893143654e-05,7.629510946571827e-05,1.1737709148572042e-06,0.0,1.7606563722858061e-06,1.1737709148572042e-06,5.868854574286021e-06,9.390167318857633e-07,7.042625489143225e-07,1.1737709148572042e-06,1.408525097828645e-06,1.103344659965772e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.868854574286019e-06,0.0,4.875036745476016e-06,4.066061721958561e-06,1.2027572775057129e-05,4.539929832282452e-06,4.173081637056484e-06,4.0660617219585595e-06,4.4168735949307416e-06,1.9579118105663677e-05,0.0,0.0,0.0,0.0,1.5259021893143654e-05,32.5,34.666666666666664,36.6,34.166666666666664,33.829787234042556,4.75,2.0,5.8,5.5,4.638297872340425,0.0,0.0,0.0,0.0,0.0,34.01538461538462,4.523076923076923,0,31.0,35.0,36.0,36.0,32.0,5.0,3.0,6.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,80.91856258185335,6.87265036091901,2,2.0,100.0,15.066681923370567,3,1
1,2,0.0,4.577706567943096e-05,0.0,3.051804378628731e-05,0.0001983672846108675,0.00012207217514514923,9.155413135886192e-05,0.0,7.629510946571827e-05,0.0009308003354817629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7276913887388063,1.098304011368841,nan,1.590473210941393,1.0158555999219971,0.0,1.5259021893143654e-05,0.0,1.5259021893143654e-05,3.051804378628731e-05,3.051804378628731e-05,1.5259021893143654e-05,0.0,1.5259021893143654e-05,7.629510946571827e-05,0.0,1.144426641985774e-06,0.0,7.629510946571827e-07,4.959182115271688e-06,1.2715851577619712e-06,9.536888683214784e-07,0.0,7.947407236012319e-07,9.69583682793503e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.019094281834025e-06,0.0,3.325626720474393e-06,7.919638165557718e-06,5.242879917420297e-06,3.693621104472484e-06,0.0,3.3904798013045e-06,1.749801787439342e-05,0.0,0.0,0.0,0.0,1.5259021893143654e-05,26.625,28.333333333333332,nan,27.0,26.688524590163933,5.875,6.333333333333333,nan,5.8,7.114754098360656,0.0,0.0,nan,0.0,0.0,27.697916666666668,7.229166666666667,0,26.0,22.0,23.0,31.0,26.0,4.0,6.0,6.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,73.19056277295952,6.87265036091901,1,3.0,100.0,15.541897060401316,3,2
1,3,6.103608757257462e-05,6.103608757257462e-05,1.5259021893143654e-05,1.5259021893143654e-05,0.00044251163490116596,0.0003356984816491604,0.0002899214159697294,0.00010681315325200558,0.00013733119703829288,0.002288853283971548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8614729085258968,0.510448465099536,0.7310001850546183,2.2030996901181643,0.31294218715283145,3.051804378628731e-05,1.5259021893143654e-05,1.5259021893143654e-05,1.5259021893143654e-05,6.103608757257462e-05,3.051804378628731e-05,4.577706567943096e-05,3.051804378628731e-05,3.051804378628731e-05,0.00012207217514514923,1.2456344402566247e-06,1.2456344402566247e-06,3.114086100641562e-07,3.114086100641562e-07,9.03084969186053e-06,1.7484295919227104e-06,1.5100073748423408e-06,5.563185065208623e-07,7.152666512411088e-07,1.192111085401848e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1922191434242175e-06,4.17798492529307e-06,2.1575021381820947e-06,2.157502138182094e-06,1.2680105858226287e-05,5.558641834507789e-06,5.519301242013585e-06,3.256497997853827e-06,3.581627608854215e-06,1.7647539436881095e-05,0.0,0.0,0.0,0.0,1.5259021893143654e-05,38.09090909090909,38.10526315789474,37.57142857142857,39.888888888888886,37.98,17.318181818181817,18.842105263157894,19.857142857142858,19.22222222222222,19.246666666666666,0.0,0.0,0.0,0.0,0.0,37.6875,19.135416666666668,0,41.0,42.0,41.0,38.0,40.0,23.0,18.0,12.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,157.4585772850596,9.83766414851207,5,6.0,100.0,15.066681923370567,1,3
1,4,0.00013733119703829288,6.103608757257462e-05,0.00013733119703829288,0.00012207217514514923,0.0008087281603366137,0.0011291676200926304,0.000396734569221735,0.00044251163490116596,0.0004882887005805969,0.004394598305225372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12284123895813445,0.6024138078633395,5.6578697456717615,3.9557622863645543,1.4904460761685818,3.051804378628731e-05,1.5259021893143654e-05,4.577706567943096e-05,3.051804378628731e-05,6.103608757257462e-05,4.577706567943096e-05,3.051804378628731e-05,4.577706567943096e-05,4.577706567943096e-05,0.00010681315325200558,1.134968570564404e-06,5.044304758064017e-07,1.134968570564404e-06,1.0088609516128035e-06,6.683703804434823e-06,1.8977607060380344e-06,6.66780788607958e-07,7.437170334473377e-07,8.206532782867175e-07,7.385879504580457e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.458577625998286e-06,2.7281249181400117e-06,5.605763815743645e-06,4.269073525375004e-06,1.2545014543412298e-05,5.894764729744776e-06,3.3608215995120896e-06,3.935881965628315e-06,4.255593696174846e-06,1.4245699063620721e-05,0.0,0.0,0.0,0.0,1.5259021893143654e-05,17.10810810810811,17.307692307692307,17.17241379310345,16.0,17.552083333333332,24.527027027027028,23.923076923076923,18.79310344827586,20.625,23.05902777777778,0.0,0.0,0.0,0.0,0.0,17.01344537815126,24.448739495798318,0,8.0,30.0,15.0,14.0,14.0,5.0,24.0,9.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,71.11909790613718,19.731938718100313,5,4.0,36.470588235294116,20.26503429883303,2,4
1,5,3.051804378628731e-05,0.0,0.0,1.5259021893143654e-05,0.00018310826271772385,0.00013733119703829288,1.5259021893143654e-05,4.577706567943096e-05,1.5259021893143654e-05,0.0005035477224737406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8365124544319442,3.0965532411551804,0.5929628472945085,3.3615105364136144,0.15539805748389113,1.5259021893143654e-05,0.0,0.0,1.5259021893143654e-05,4.577706567943096e-05,3.051804378628731e-05,1.5259021893143654e-05,3.051804378628731e-05,1.5259021893143654e-05,6.103608757257462e-05,1.5259021893143653e-06,0.0,0.0,7.629510946571827e-07,9.155413135886192e-06,3.0518043786287307e-06,3.390893754031923e-07,1.017268126209577e-06,3.390893754031923e-07,1.1189949388305346e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.577706567943096e-06,0.0,0.0,3.3256267204743947e-06,1.4794170615053452e-05,7.612537597523501e-06,2.2492644572167125e-06,4.983575681621248e-06,2.2492644572167137e-06,1.6212586095774283e-05,0.0,0.0,0.0,0.0,1.5259021893143654e-05,36.0,34.0,35.666666666666664,38.0,36.39393939393939,29.666666666666668,31.0,29.0,26.0,28.90909090909091,0.0,0.0,0.0,0.0,0.0,36.24444444444445,28.866666666666667,0,34.0,34.0,34.0,38.0,38.0,30.0,31.0,29.0,26.0,28.0,0.0,0.0,0.0,0.0,0.0,128.9654409444834,9.83766414851207,3,4.0,100.0,10.969616259586273,7,5
1,6,9.155413135886192e-05,4.577706567943096e-05,1.5259021893143654e-05,1.5259021893143654e-05,0.0002899214159697294,0.00018310826271772385,9.155413135886192e-05,3.051804378628731e-05,1.5259021893143654e-05,0.0007324330508708954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3533195839571217,0.8249085860549769,1.755919119186587,5.831391510876713,0.16576906732124277,7.629510946571827e-05,3.051804378628731e-05,1.5259021893143654e-05,1.5259021893143654e-05,4.577706567943096e-05,7.629510946571827e-05,3.051804378628731e-05,1.5259021893143654e-05,1.5259021893143654e-05,6.103608757257462e-05,3.6621652543544767e-06,1.8310826271772384e-06,6.103608757257462e-07,6.103608757257462e-07,1.1596856638789178e-05,2.861066604964435e-06,1.4305333024822176e-06,4.768444341607392e-07,2.384222170803696e-07,1.144426641985774e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5124146413951882e-05,6.5737878152201684e-06,2.990145408972746e-06,2.9901454089727457e-06,1.5727899563561838e-05,1.0747527720836934e-05,5.859562506954031e-06,2.6549574471340102e-06,1.8924176802819428e-06,1.5958267077502013e-05,0.0,0.0,0.0,0.0,1.5259021893143654e-05,49.666666666666664,51.833333333333336,52.5,47.0,51.520833333333336,29.25,31.333333333333332,29.0,27.0,30.416666666666668,0.0,0.0,0.0,0.0,0.0,51.640625,30.53125,0,47.0,55.0,53.0,47.0,52.0,28.0,30.0,31.0,27.0,32.0,0.0,0.0,0.0,0.0,0.0,44.975845415685676,10.228873195322349,7,4.0,100.0,15.485903698941112,5,6
1,7,0.0001678492408245802,9.155413135886192e-05,1.5259021893143654e-05,3.051804378628731e-05,0.0002288853283971548,0.00041199359111487865,0.0002288853283971548,0.00010681315325200558,0.00021362630650401115,0.0020904859993606806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8739089272153264,0.7995226055657627,2.615004354227765,0.9249074646840793,0.8085979329331517,3.051804378628731e-05,1.5259021893143654e-05,1.5259021893143654e-05,1.5259021893143654e-05,4.577706567943096e-05,3.051804378628731e-05,3.051804378628731e-05,3.051804378628731e-05,1.5259021893143654e-05,9.155413135886192e-05,2.6642736638822254e-06,1.4532401802993956e-06,2.422066967165659e-07,4.844133934331318e-07,3.633100450748489e-06,1.7238225569660195e-06,9.576791983144554e-07,4.4691695921341245e-07,8.938339184268249e-07,8.746803344605358e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.465311764262298e-06,4.479187058557382e-06,1.9071374370846312e-06,2.675260406014855e-06,8.89924228860936e-06,5.75103879003845e-06,3.955316858857552e-06,2.9271511651741782e-06,3.5833074465330283e-06,1.4721841082152439e-05,0.0,0.0,0.0,0.0,1.5259021893143654e-05,44.55555555555556,43.06666666666667,45.714285714285715,42.785714285714285,43.32116788321168,38.592592592592595,37.46666666666667,38.57142857142857,37.214285714285715,36.21167883211679,0.0,0.0,0.0,0.0,0.0,43.66945606694561,36.94142259414226,0,51.0,48.0,46.0,41.0,44.0,35.0,39.0,34.0,42.0,33.0,0.0,0.0,0.0,0.0,0.0,93.79440126326867,10.228873195322349,6,5.0,85.3932584269663,10.969616259586273,5,7
1,8,4.577706567943096e-05,0.0,4.577706567943096e-05,1.5259021893143654e-05,0.0001678492408245802,0.00038147554732859135,0.00010681315325200558,7.629510946571827e-05,1.5259021893143654e-05,0.0006713969632983208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3635084741840864,0.42579704490058157,2.6172685542401886,5.0550435677184185,1.358767940790815,3.051804378628731e-05,0.0,1.5259021893143654e-05,1.5259021893143654e-05,4.577706567943096e-05,6.103608757257462e-05,3.051804378628731e-05,1.5259021893143654e-05,1.5259021893143654e-05,0.00010681315325200558,1.5785195061872746e-06,0.0,1.5785195061872746e-06,5.261731687290916e-07,5.787904856020007e-06,4.286242104815633e-06,1.2001477893483772e-06,8.572484209631267e-07,1.7144968419262533e-07,7.543786104475514e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.136180870435308e-06,0.0,4.6470356004933096e-06,2.7842467020240085e-06,1.1623545212340404e-05,1.1434550023720752e-05,4.701599264689912e-06,3.5136729455223054e-06,1.6083406015076803e-06,1.6828290888166303e-05,0.0,0.0,0.0,0.0,1.144426641985774e-05,52.8,53.42857142857143,50.8,51.0,52.72727272727273,45.24,46.142857142857146,45.6,42.0,45.27272727272727,0.0,0.0,0.0,0.0,0.0,53.247191011235955,46.52808988764045,0,52.0,56.0,49.0,51.0,54.0,44.0,48.0,47.0,42.0,48.0,0.0,0.0,0.0,0.0,0.0,39.23829763315777,13.551280251670258,7,2.0,72.72727272727273,16.07731136537646,6,8
2,1,0.004486152436584234,0.007522697793319821,0.00047302967868745327,0.002517738612368703,0.0007324330508708954,0.03620965895242989,0.040817883564159274,0.002166781108826399,0.01966887922026217,0.006912336917594075,9.155413135886192e-05,3.051804378628731e-05,0.0,1.5259021893143654e-05,0.0,0.00010681315325200558,0.00013733119703829288,0.0,6.103608757257462e-05,1.5259021893143654e-05,0.8102160047054511,1.5572602929020167,2.1791000480257656,1.7109108767366112,1.9609757731928408,0.0005035477224737406,0.0013427939265966415,6.103608757257462e-05,0.00035095750354230404,0.00012207217514514923,0.0006866559851914644,0.0013427939265966415,0.00010681315325200558,0.0005188067443668842,0.0002899214159697294,0.00011215381091460586,0.00018806744483299554,1.1825741967186332e-05,6.294346530921757e-05,1.8310826271772383e-05,0.00020116477195794384,0.00022676601980088485,1.2037672826813327e-05,0.00010927155122367873,3.840187176441153e-05,0.0001983672846108675,0.00015259021893143654,0.0,7.629510946571827e-05,1.5259021893143654e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013556290585881977,0.00029373889625571514,1.6884333540228975e-05,8.606057910800423e-05,3.240521946540128e-05,0.00014119039371711216,0.0002538168774134219,1.8267604158537017e-05,0.00011144964947451141,5.757852170667411e-05,0.0002899214159697294,0.00035095750354230404,1.5259021893143654e-05,0.0001678492408245802,4.577706567943096e-05,14.281921618204803,13.081869158878504,12.06338028169014,12.594259115593482,15.331125827814569,7.1677201854193004,7.4392523364485985,6.76056338028169,6.936384794414274,7.966887417218543,0.0,0.0,0.0,0.0,0.0,14.205555555555556,6.361111111111111,0,15.0,12.0,10.0,10.0,17.0,6.0,12.0,5.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,78.68612511632463,12.831820757989895,5,3.0,79.36507936507937,13.021322530027346,3,1
2,2,0.0017242694739252329,0.0011139085981994867,0.0007629510946571827,0.00041199359111487865,9.155413135886192e-05,0.04744029906578362,0.023941405350342393,0.00254825665615499,0.009826810099184513,0.0038147554732859135,4.577706567943096e-05,0.0,0.0,0.0,0.0,0.0001678492408245802,3.8147554732859135e-05,0.0,4.577706567943096e-05,0.0,0.5686685687632833,3.217590087926149,3.3819366841853022,0.768012230408676,2.135858774417683,0.0003051804378628731,0.000396734569221735,0.00035095750354230404,9.155413135886192e-05,3.051804378628731e-05,0.0009460593573749065,0.0010528725106269121,0.00035095750354230404,0.00024414435029029846,0.00021362630650401115,5.945756806638734e-05,3.841064131722368e-05,2.6308658436454576e-05,1.4206675555685471e-05,3.157039012374549e-06,0.0002483785291402284,0.00012534767199132144,1.334165788562822e-05,5.144926753499745e-05,1.9972541744952427e-05,0.00024414435029029846,3.8147554732859135e-05,0.0,4.577706567943096e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.900573371797278e-05,8.110238713210132e-05,7.008579204323019e-05,2.5637109335614274e-05,8.385820394366011e-06,0.000211026303445762,0.00018367393989176907,3.548598556199629e-05,5.212268624002657e-05,3.361221531250022e-05,0.000396734569221735,0.00018310826271772385,1.5259021893143654e-05,9.155413135886192e-05,3.051804378628731e-05,56.64104213573496,59.449968132568515,57.5748502994012,56.20962732919255,57.8,5.242521711161145,6.180369662205226,8.796407185628743,4.909937888198757,7.168,0.0,0.0,0.0,0.0,0.0,56.27225130890052,5.675392670157068,0,59.0,60.0,60.0,56.0,60.0,9.0,10.0,15.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,46.05719076815258,14.980934935791101,6,2.0,72.85714285714286,19.71397324878289,4,2
