Object,1,2,3,4,5,6,7,8,9,10,11,12
1,0.0,22.135944,1.0,1.0,7.615773,20.880613,4.2426405,8.062258,15.6205,29.698484,26.907248,24.738634
2,22.135944,0.0,14.764823,28.178005,7.81025,1.0,18.439089,29.832869,18.384777,11.045361,19.723083,32.449963
3,1.0,14.764823,0.0,1.0,1.0,13.416408,1.0,6.3245554,10.440307,23.345236,20.808653,22.0
4,1.0,28.178005,1.0,0.0,11.18034,21.84033,1.0,1.0,7.071068,27.730848,23.70654,14.142136
5,7.615773,7.81025,1.0,11.18034,0.0,1.0,1.0,7.28011,1.0,7.81025,6.0827627,15.0
6,20.880613,1.0,13.416408,21.84033,1.0,0.0,8.0,14.035668,1.0,1.0,1.0,12.529964
7,4.2426405,18.439089,1.0,1.0,1.0,8.0,0.0,1.0,1.0,13.0,9.433981,13.0
8,8.062258,29.832869,6.3245554,1.0,7.28011,14.035668,1.0,0.0,1.0,18.439089,13.892444,5.3851647
9,15.6205,18.384777,10.440307,7.071068,1.0,1.0,1.0,1.0,0.0,4.1231055,1.0,1.0
10,29.698484,11.045361,23.345236,27.730848,7.81025,1.0,13.0,18.439089,4.1231055,0.0,1.0,9.433981
11,26.907248,19.723083,20.808653,23.70654,6.0827627,1.0,9.433981,13.892444,1.0,1.0,0.0,1.0
12,24.738634,32.449963,22.0,14.142136,15.0,12.529964,13.0,5.3851647,1.0,9.433981,1.0,0.0
