Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.0,1.0,21.377558,17.0,26.0,1.0,5.8309517,1.0,11.045361,19.79899,18.027756,32.202484,18.110771,31.906113,25.632011,31.38471
2,1.0,0.0,30.0,22.36068,33.13608,1.0,10.049875,4.0,9.0,22.472204,15.033297,36.23534,16.763054,32.649654,25.059929,32.01562
3,21.377558,30.0,0.0,1.0,1.0,27.018513,9.433981,16.124516,31.780497,9.486833,38.587563,13.416408,28.319605,21.095022,27.784887,26.832815
4,17.0,22.36068,1.0,0.0,1.0,19.104973,1.0,11.18034,21.540659,1.0,27.856777,6.3245554,16.970562,12.165525,17.464249,16.552946
5,26.0,33.13608,1.0,1.0,0.0,29.832869,10.198039,20.615528,29.832869,3.1622777,36.138622,1.0,22.803509,8.5440035,18.601076,17.029387
6,1.0,1.0,27.018513,19.104973,29.832869,0.0,7.0,1.0,1.0,14.21267,6.0,31.320919,7.28011,25.0,15.811388,24.207438
7,5.8309517,10.049875,9.433981,1.0,10.198039,7.0,0.0,1.0,8.5440035,1.0,14.866069,13.416408,6.3245554,10.770329,8.246211,10.440307
8,1.0,4.0,16.124516,11.18034,20.615528,1.0,1.0,0.0,1.0,1.0,6.708204,19.416489,1.0,11.661903,4.0,10.816654
9,11.045361,9.0,31.780497,21.540659,29.832869,1.0,8.5440035,1.0,0.0,9.486833,1.0,28.160255,1.0,20.12461,9.899495,19.235384
10,19.79899,22.472204,9.486833,1.0,3.1622777,14.21267,1.0,1.0,9.486833,0.0,15.0,1.0,1.0,1.0,1.0,1.0
11,18.027756,15.033297,38.587563,27.856777,36.138622,6.0,14.866069,6.708204,1.0,15.0,0.0,34.0,1.0,24.738634,12.0415945,23.769728
12,32.202484,36.23534,13.416408,6.3245554,1.0,31.320919,13.416408,19.416489,28.160255,1.0,34.0,0.0,20.0,1.0,13.341664,11.18034
13,18.110771,16.763054,28.319605,16.970562,22.803509,7.28011,6.3245554,1.0,1.0,1.0,1.0,20.0,0.0,10.440307,1.0,9.486833
14,31.906113,32.649654,21.095022,12.165525,8.5440035,25.0,10.770329,11.661903,20.12461,1.0,24.738634,1.0,10.440307,0.0,3.0,1.0
15,25.632011,25.059929,27.784887,17.464249,18.601076,15.811388,8.246211,4.0,9.899495,1.0,12.0415945,13.341664,1.0,3.0,0.0,1.0
16,31.38471,32.01562,26.832815,16.552946,17.029387,24.207438,10.440307,10.816654,19.235384,1.0,23.769728,11.18034,9.486833,1.0,1.0,0.0
