Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.0,2.236068,1.0,1.0,8.5440035,4.0,1.0,8.602325,9.219544,18.384777,10.440307,14.56022,17.262676,17.117243,25.553865,15.0,36.619667,28.0,33.24154,30.265491,36.05551,33.24154,37.589893
2,2.236068,0.0,10.29563,1.0,1.0,10.816654,14.56022,6.3245554,4.1231055,9.433981,21.213203,15.0,24.04163,23.345236,18.027756,17.0,30.594116,29.410883,24.186773,30.594116,30.413813,32.06244,33.13608
3,1.0,10.29563,0.0,1.0,12.0,1.0,1.0,6.3245554,11.0,18.384777,8.485281,11.18034,13.152946,13.038404,22.803509,11.0,34.058773,24.0,32.449963,26.476404,33.42155,29.732138,34.669872
4,1.0,1.0,1.0,0.0,1.0,1.0,4.472136,1.0,1.0,9.219544,10.0,6.0827627,12.727922,12.0415945,16.124516,7.0,27.294687,20.024984,24.04163,22.022715,26.832815,24.738634,28.79236
5,8.5440035,1.0,12.0,1.0,0.0,9.486833,14.3178215,2.828427,1.0,1.0,18.867962,6.3245554,21.400934,20.518284,8.5440035,12.806249,21.213203,23.600847,15.0,23.70654,21.095022,24.0,24.0
6,4.0,10.816654,1.0,1.0,9.486833,0.0,1.0,1.0,5.656854,13.928389,4.1231055,4.472136,6.4031243,5.656854,16.40122,2.0,27.658634,15.0,27.294687,17.720045,26.870058,21.470911,27.58623
7,1.0,14.56022,1.0,4.472136,14.3178215,1.0,0.0,1.0,7.071068,16.124516,1.0,5.3851647,3.6055512,3.1622777,17.0,1.0,28.01785,14.035668,28.79236,17.088007,26.907248,21.095022,27.58623
8,8.602325,6.3245554,6.3245554,1.0,2.828427,1.0,1.0,0.0,1.0,7.28011,4.0,1.0,5.8309517,5.0,12.0415945,1.0,23.345236,14.0,21.400934,16.03122,22.671568,18.973665,23.853722
9,9.219544,4.1231055,11.0,1.0,1.0,5.656854,7.071068,1.0,0.0,1.0,11.0,1.0,12.369317,10.29563,6.3245554,2.828427,17.464249,14.56022,14.21267,16.03122,17.088007,18.0,19.416489
10,18.384777,9.433981,18.384777,9.219544,1.0,13.928389,16.124516,7.28011,1.0,0.0,20.0,1.0,21.095022,18.439089,1.0,9.219544,10.049875,17.20465,1.0,15.811388,11.401754,14.0,14.035668
11,10.440307,21.213203,8.485281,10.0,18.867962,4.1231055,1.0,4.0,11.0,20.0,0.0,9.0,1.0,1.0,18.973665,1.0,29.529646,12.649111,31.575306,16.643316,28.01785,21.260292,28.42534
12,14.56022,15.0,11.18034,6.0827627,6.3245554,4.472136,5.3851647,1.0,1.0,1.0,9.0,0.0,10.198039,8.062258,1.0,1.0,11.401754,12.0415945,10.440307,11.401754,10.816654,11.401754,12.649111
13,17.262676,24.04163,13.152946,12.727922,21.400934,6.4031243,3.6055512,5.8309517,12.369317,21.095022,1.0,10.198039,0.0,1.0,19.646883,2.0,29.966648,6.708204,32.38827,14.422205,28.301943,20.12461,28.178005
14,17.117243,23.345236,13.038404,12.0415945,20.518284,5.656854,3.1622777,5.0,10.29563,18.439089,1.0,8.062258,1.0,0.0,16.124516,1.0,26.0,1.0,29.068884,9.433981,23.769728,15.231546,23.259407
15,25.553865,18.027756,22.803509,16.124516,8.5440035,16.40122,17.0,12.0415945,6.3245554,1.0,18.973665,1.0,19.646883,16.124516,0.0,8.062258,1.0,10.770329,1.0,8.602325,1.0,3.6055512,3.1622777
16,15.0,17.0,11.0,7.0,12.806249,2.0,1.0,1.0,2.828427,9.219544,1.0,1.0,2.0,1.0,8.062258,0.0,18.384777,1.0,20.396078,3.6055512,16.552946,8.602325,16.552946
17,36.619667,30.594116,34.058773,27.294687,21.213203,27.658634,28.01785,23.345236,17.464249,10.049875,29.529646,11.401754,29.966648,26.0,1.0,18.384777,0.0,18.0,1.0,13.152946,1.0,5.0,4.2426405
18,28.0,29.410883,24.0,20.024984,23.600847,15.0,14.035668,14.0,14.56022,17.20465,12.649111,12.0415945,6.708204,1.0,10.770329,1.0,18.0,0.0,23.345236,1.0,15.132746,6.3245554,14.3178215
19,33.24154,24.186773,32.449963,24.04163,15.0,27.294687,28.79236,21.400934,14.21267,1.0,31.575306,10.440307,32.38827,29.068884,1.0,20.396078,1.0,23.345236,0.0,19.104973,1.0,10.440307,6.0
20,30.265491,30.594116,26.476404,22.022715,23.70654,17.720045,17.088007,16.03122,16.03122,15.811388,16.643316,11.401754,14.422205,9.433981,8.602325,3.6055512,13.152946,1.0,19.104973,0.0,10.0,1.0,8.246211
21,36.05551,30.413813,33.42155,26.832815,21.095022,26.870058,26.907248,22.671568,17.088007,11.401754,28.01785,10.816654,28.301943,23.769728,1.0,16.552946,1.0,15.132746,1.0,10.0,0.0,1.4142135,1.0
22,33.24154,32.06244,29.732138,24.738634,24.0,21.470911,21.095022,18.973665,18.0,14.0,21.260292,11.401754,20.12461,15.231546,3.6055512,8.602325,5.0,6.3245554,10.440307,1.0,1.4142135,0.0,1.0
23,37.589893,33.13608,34.669872,28.79236,24.0,27.58623,27.58623,23.853722,19.416489,14.035668,28.42534,12.649111,28.178005,23.259407,3.1622777,16.552946,4.2426405,14.3178215,6.0,8.246211,1.0,1.0,0.0
