Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0.0,1.0,1.0,6.0,26.019224,13.152946,1.0,4.1231055,13.928389,38.470768,26.076809,21.470911,32.695564,24.186773,9.486833,44.64303,14.866069,10.049875,37.12142,32.55764,22.825424,44.102154,32.526913,30.083218,44.553337,37.12142,42.0119,32.0,31.0
2,1.0,0.0,1.0,20.22375,40.1995,27.45906,6.4031243,8.062258,27.294687,52.773098,40.311287,35.468296,46.818798,37.589893,15.811388,58.940647,27.784887,19.849434,51.078373,45.486263,33.941124,57.706154,45.221676,39.698868,57.00877,47.423622,53.814495,32.202484,30.805843
3,1.0,1.0,0.0,17.0,37.0,24.0,1.0,1.0,21.84033,49.0408,37.0,30.594116,41.976185,31.95309,6.4031243,54.589375,22.135944,13.416408,45.88028,39.217342,25.942244,52.0,38.626415,30.610456,49.648766,38.418747,45.79301,24.738634,23.769728
4,6.0,20.22375,17.0,0.0,13.0,1.0,4.0,16.763054,1.0,25.079872,13.0,7.615773,18.973665,10.29563,8.485281,31.04835,3.0,3.1622777,23.259407,19.104973,12.0,30.232433,19.209373,18.788294,31.144823,25.059929,29.15476,28.178005,29.410883
5,26.019224,40.1995,37.0,13.0,0.0,1.0,24.0,36.345562,9.219544,1.0,1.0,3.6055512,1.0,7.2111025,26.400757,7.2111025,15.6205,19.416489,7.071068,10.770329,16.124516,16.0,18.110771,20.248457,22.0,25.495098,25.70992,41.400482,45.276924
6,13.152946,27.45906,24.0,1.0,1.0,0.0,11.0,23.345236,1.0,13.152946,1.0,1.0,9.899495,5.0,14.422205,19.697716,6.708204,8.602325,14.866069,13.892444,10.0,22.803509,16.124516,17.029387,26.400757,23.086792,26.476404,33.105892,35.0
7,1.0,6.4031243,1.0,4.0,24.0,11.0,0.0,1.0,9.433981,36.013885,24.0,17.720045,29.12044,19.723083,1.0,41.59327,10.0,1.4142135,33.24154,27.294687,15.556349,39.824615,26.925823,21.954498,38.600517,29.410883,35.383614,22.0,21.0
8,4.1231055,8.062258,1.0,16.763054,36.345562,23.345236,1.0,0.0,20.0,48.0,36.013885,29.0,40.112343,29.427877,3.6055512,53.037724,20.024984,11.0,43.56604,36.05551,22.825424,49.0408,35.468296,27.658634,46.52956,35.468296,42.72002,23.194826,22.203604
9,13.928389,27.294687,21.84033,1.0,9.219544,1.0,9.433981,20.0,0.0,18.0,6.708204,1.0,11.18034,2.236068,8.246211,23.345236,1.0,1.4142135,15.231546,12.0415945,5.656854,22.203604,12.206555,12.369317,23.853722,18.384777,22.36068,26.400757,27.802877
10,38.470768,52.773098,49.0408,25.079872,1.0,13.152946,36.013885,48.0,18.0,0.0,3.0,11.045361,1.0,9.848858,36.124783,1.0,20.248457,28.160255,2.0,10.630146,19.697716,12.369317,16.155495,21.213203,19.235384,25.495098,24.166092,44.04543,50.537113
11,26.076809,40.311287,37.0,13.0,1.0,1.0,24.0,36.013885,6.708204,3.0,0.0,1.0,1.0,1.0,25.0,8.944272,10.29563,17.262676,5.3851647,6.0,10.0,13.892444,12.529964,13.416408,18.681541,18.973665,21.0,35.35534,40.81666
12,21.470911,35.468296,30.594116,7.615773,3.6055512,1.0,17.720045,29.0,1.0,11.045361,1.0,0.0,4.2426405,1.0,17.117243,16.124516,4.472136,9.219544,9.219544,8.062258,5.3851647,17.029387,11.0,12.0,20.880613,18.0,21.213203,30.232433,34.058773
13,32.695564,46.818798,41.976185,18.973665,1.0,9.899495,29.12044,40.112343,11.18034,1.0,1.0,4.2426405,0.0,1.0,28.0,1.0,11.0,20.0,1.0,1.0,9.433981,8.602325,8.246211,10.630146,13.341664,15.264338,16.03122,33.42155,40.311287
