Object,1,2,3,4,5,6,7,8,9,10,11
1,0.0,1.0,1.0,1.0,9.899495,9.0,7.615773,12.0415945,19.646883,21.023796,18.027756
2,1.0,0.0,4.0,1.0,12.529964,6.3245554,9.219544,5.0,19.723083,16.03122,17.0
3,1.0,4.0,0.0,1.0,1.0,3.6055512,1.0,12.0415945,12.369317,16.552946,12.165525
4,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,11.7046995,11.0,9.486833
5,9.899495,12.529964,1.0,5.0,0.0,5.3851647,1.0,10.770329,1.0,14.764823,7.071068
6,9.0,6.3245554,3.6055512,1.0,5.3851647,0.0,1.0,1.0,4.472136,4.472136,1.0
7,7.615773,9.219544,1.0,1.0,1.0,1.0,0.0,3.0,1.0,6.708204,1.0
8,12.0415945,5.0,12.0415945,1.0,10.770329,1.0,3.0,0.0,6.0827627,1.0,1.0
9,19.646883,19.723083,12.369317,11.7046995,1.0,4.472136,1.0,6.0827627,0.0,9.0,1.0
10,21.023796,16.03122,16.552946,11.0,14.764823,4.472136,6.708204,1.0,9.0,0.0,1.0
11,18.027756,17.0,12.165525,9.486833,7.071068,1.0,1.0,1.0,1.0,1.0,0.0
