Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0.0,1.0,10.198039,1.0,1.0,10.816654,21.023796,12.529964,21.260292,18.973665,18.027756,18.0,37.802116,26.925823,25.495098,18.0,35.805027,39.59798,46.010868,35.0,57.48913,40.16217,55.0,51.42956,54.378304,63.245552,50.01,57.68882,67.11929,58.872746
2,1.0,0.0,1.0,1.0,9.0,1.0,9.899495,9.219544,9.899495,14.21267,7.071068,9.0,26.627054,16.124516,15.0,10.630146,24.41311,28.284271,34.713108,25.317978,46.227695,29.12044,43.60046,40.24922,43.046486,51.86521,39.319206,46.32494,55.9017,47.759815
3,10.198039,1.0,0.0,11.18034,20.0,1.0,1.0,22.022715,8.0,27.018513,10.630146,17.804493,18.601076,21.189621,22.022715,23.345236,20.248457,21.931713,27.45906,33.600594,37.01351,30.265491,38.470768,37.48333,39.293766,47.169907,41.303753,42.059483,52.201534,47.042534
4,1.0,1.0,11.18034,0.0,1.0,3.1622777,13.928389,1.0,12.806249,5.8309517,8.062258,4.472136,30.413813,16.763054,14.3178215,4.1231055,26.400757,31.400637,38.013157,21.095022,49.648766,29.15476,46.010868,41.677334,45.0,54.037025,38.078865,48.414875,57.45433,48.548943
5,1.0,9.0,20.0,1.0,0.0,12.165525,22.022715,1.0,19.416489,6.3245554,12.083046,5.8309517,37.363083,18.384777,15.524175,5.3851647,29.698484,37.161808,43.863426,22.203604,55.461697,30.528675,49.819675,43.931767,48.08326,57.31492,39.39543,51.62364,59.665737,49.92995
6,10.816654,1.0,1.0,3.1622777,12.165525,0.0,1.0,11.0,1.0,15.297058,1.0,3.6055512,17.0,10.0,9.219544,10.770329,15.231546,18.384777,24.839485,20.615528,36.40055,22.0,34.132095,31.38471,34.0,42.544094,33.0,37.12142,46.957428,39.812057
7,21.023796,9.899495,1.0,13.928389,22.022715,1.0,0.0,20.024984,1.0,24.33105,4.1231055,11.7046995,2.236068,13.601471,14.866069,19.646883,6.0827627,7.0,11.18034,26.24881,21.931713,18.973665,22.36068,24.0,25.0,31.780497,31.764761,27.166155,37.336308,34.713108
8,12.529964,9.219544,22.022715,1.0,1.0,11.0,20.024984,0.0,17.0,1.0,9.055386,1.4142135,34.48188,14.21267,9.848858,1.0,25.495098,33.83785,40.496914,16.27882,51.894123,25.612497,45.80393,39.59798,43.416588,53.15073,34.0,47.423622,55.17246,45.0
9,21.260292,9.899495,8.0,12.806249,19.416489,1.0,1.0,17.0,0.0,21.095022,1.0,8.246211,1.0,7.81025,11.313708,16.27882,1.0,2.0,7.071068,22.022715,18.439089,13.152946,17.888544,19.0,20.0,26.925823,24.738634,22.203604,32.38827,29.15476
10,18.973665,14.21267,27.018513,5.8309517,6.3245554,15.297058,24.33105,1.0,21.095022,0.0,13.0,5.0,37.65634,16.155495,8.5440035,1.0,26.400757,36.878178,43.416588,9.899495,54.405884,24.166092,46.957428,37.44329,40.804413,53.225933,29.732138,47.41308,52.63079,41.725292
11,18.027756,7.071068,10.630146,8.062258,12.083046,1.0,4.1231055,9.055386,1.0,13.0,0.0,1.0,4.0,1.0,1.0,8.0,1.0,3.0,9.486833,12.206555,21.023796,7.071068,17.492855,16.03122,17.720045,25.942244,18.110771,20.615528,30.675724,24.33105
12,18.0,9.0,17.804493,4.472136,5.8309517,3.6055512,11.7046995,1.4142135,8.246211,5.0,1.0,0.0,24.186773,2.828427,1.0,1.0,13.601471,23.345236,29.832869,7.0,40.853397,14.3178215,34.132095,27.58623,31.827662,41.231056,23.409399,35.468296,43.27817,33.61547
13,37.802116,26.627054,18.601076,30.413813,37.363083,17.0,2.236068,34.48188,1.0,37.65634,4.0,24.186773,0.0,13.928389,21.189621,31.780497,1.0,1.0,1.0,29.068884,1.4142135,12.806249,7.0,14.3178215,14.866069,18.0,25.553865,16.492422,25.179358,26.925823
14,26.925823,16.124516,21.189621,16.763054,18.384777,10.0,13.601471,14.21267,7.81025,16.155495,1.0,2.828427,13.928389,0.0,1.0,10.0,1.0,11.401754,18.027756,6.0827627,27.658634,1.0,20.248457,13.453624,17.492855,27.202942,10.049875,21.400934,29.0,19.235384
15,25.495098,15.0,22.022715,14.3178215,15.524175,9.219544,14.866069,9.848858,11.313708,8.5440035,1.0,1.0,21.189621,1.0,0.0,1.0,5.0,18.0,25.079872,1.0,34.058773,2.0,24.698177,15.556349,19.104973,30.870699,9.848858,25.059929,31.112698,20.615528
16,18.0,10.630146,23.345236,4.1231055,5.3851647,10.770329,19.646883,1.0,16.27882,1.0,8.0,1.0,31.780497,10.0,1.0,0.0,16.27882,29.068884,36.124783,1.0,45.276924,13.0,36.05551,26.400757,29.832869,42.047592,19.209373,36.249138,41.773197,31.112698
17,35.805027,24.41311,20.248457,26.400757,29.698484,15.231546,6.0827627,25.495098,1.0,26.400757,1.0,13.601471,1.0,1.0,5.0,16.27882,0.0,1.0,6.0,11.401754,16.492422,1.0,8.062258,5.0,6.708204,15.6205,11.18034,10.0,19.697716,15.297058
18,39.59798,28.284271,21.931713,31.400637,37.161808,18.384777,7.0,33.83785,2.0,36.878178,3.0,23.345236,1.0,11.401754,18.0,29.068884,1.0,0.0,1.0,24.0,9.055386,1.0,1.0,1.0,1.0,8.062258,13.038404,3.0,13.152946,13.038404
19,46.010868,34.713108,27.45906,38.013157,43.863426,24.839485,11.18034,40.496914,7.071068,43.416588,9.486833,29.832869,1.0,18.027756,25.079872,36.124783,6.0,1.0,0.0,31.0,1.0,6.0,1.0,4.472136,4.2426405,9.219544,17.804493,5.3851647,15.0,16.643316
20,35.0,25.317978,33.600594,21.095022,22.203604,20.615528,26.24881,16.27882,22.022715,9.899495,12.206555,7.0,29.068884,6.0827627,1.0,1.0,11.401754,24.0,31.0,0.0,40.0,7.071068,29.614185,18.867962,22.203604,35.1141,11.401754,29.410883,34.058773,23.345236
21,57.48913,46.227695,37.01351,49.648766,55.461697,36.40055,21.931713,51.894123,18.439089,54.405884,21.023796,40.853397,1.4142135,27.658634,34.058773,45.276924,16.492422,9.055386,1.0,40.0,0.0,15.132746,1.0,13.601471,13.0,1.0,26.41969,11.18034,13.453624,20.518284
22,40.16217,29.12044,30.265491,29.15476,30.528675,22.0,18.973665,25.612497,13.152946,24.166092,7.071068,14.3178215,12.806249,1.0,2.0,13.0,1.0,1.0,6.0,7.071068,15.132746,0.0,4.472136,1.0,2.236068,11.313708,1.0,5.656854,14.764823,5.8309517
23,55.0,43.60046,38.470768,46.010868,49.819675,34.132095,22.36068,45.80393,17.888544,46.957428,17.492855,34.132095,7.0,20.248457,24.698177,36.05551,8.062258,1.0,1.0,29.614185,1.0,4.472136,0.0,2.236068,1.0,1.0,13.892444,1.0,7.0,12.0415945
24,51.42956,40.24922,37.48333,41.677334,43.931767,31.38471,24.0,39.59798,19.0,37.44329,16.03122,27.58623,14.3178215,13.453624,15.556349,26.400757,5.0,1.0,4.472136,18.867962,13.601471,1.0,2.236068,0.0,1.0,9.219544,1.0,3.6055512,12.0415945,2.236068
