Object,Neighbor,Distance
1,2,1.0
1,3,1.0
2,1,1.0
2,3,1.0
2,7,1.0
3,1,1.0
3,2,1.0
3,4,1.0
3,5,1.0
3,6,1.0
3,7,1.0
3,9,1.0
3,11,1.0
4,3,1.0
4,5,1.0
5,3,1.0
5,4,1.0
5,6,1.0
5,8,2.0
5,11,2.828427
6,3,1.0
6,5,1.0
6,8,1.0
6,9,3.0
6,10,1.0
6,11,1.0
6,13,1.0
7,2,1.0
7,3,1.0
7,9,1.0
8,5,2.0
8,6,1.0
8,10,1.0
8,12,2.828427
9,3,1.0
9,6,3.0
9,7,1.0
9,11,1.0
10,6,1.0
10,8,1.0
10,11,3.0
10,12,1.0
10,13,1.0
11,3,1.0
11,5,2.828427
11,6,1.0
11,9,1.0
11,10,3.0
11,13,1.0
12,8,2.828427
12,10,1.0
12,13,1.0
13,6,1.0
13,10,1.0
13,11,1.0
13,12,1.0
