Object,Neighbor,Distance
1,2,
1,3,
1,5,
1,7,
2,1,
2,3,
3,1,
3,2,
3,7,
4,6,
4,9,
4,10,
4,12,
5,1,
5,7,
5,8,
5,13,
6,4,
6,12,
7,1,
7,3,
7,5,
7,13,
7,15,
8,5,
8,9,
8,11,
8,13,
8,16,
9,4,
9,8,
9,10,
9,16,
9,17,
10,4,
10,9,
10,12,
10,14,
10,17,
11,8,
11,13,
11,16,
12,4,
12,6,
12,10,
12,14,
12,22,
13,5,
13,7,
13,8,
13,11,
13,15,
13,16,
13,18,
14,10,
14,12,
14,17,
14,22,
15,7,
15,13,
15,18,
15,20,
16,8,
16,9,
16,11,
16,13,
16,17,
16,18,
16,19,
17,9,
17,10,
17,14,
17,16,
17,19,
17,22,
18,13,
18,15,
18,16,
18,19,
18,20,
18,21,
18,23,
19,16,
19,17,
19,18,
19,22,
19,23,
19,24,
20,15,
20,18,
20,21,
20,23,
21,18,
21,20,
21,23,
22,12,
22,14,
22,17,
22,19,
22,24,
23,18,
23,19,
23,20,
23,21,
23,24,
24,19,
24,22,
24,23,
